State,City,Vulnerability Management,Vulnerability Analyst,Vulnerability Specialist,Incident Specialist,Incident Responder,Incident Analyst,Malware analyst,Reverse engineer,Threat analyst,Identity and access management specialist,SOC analyst,SOC engineer,Application specialist,Application engineer,Application Support,Server administrator,PEN tester,Systems investigator,City Total,State Total
Georgia,Peachtree Corners,269,39,73,0,2,2,0,32,0,6,6,30,4,0,4,1,46,0,514,4149
Massachusetts,Medford,186,84,24,0,2,41,0,2,1,22,4,88,8,0,2,1,49,0,514,7490
California,Redondo Beach,143,32,27,1,111,32,0,1,2,9,16,28,6,0,2,57,45,0,512,57809
Massachusetts,Lowell,174,87,23,0,2,42,0,2,1,22,4,99,5,0,2,1,48,0,512,5556
Illinois,Des Plaines,261,51,31,0,1,3,0,2,0,14,6,37,2,0,5,3,94,1,511,6373
Illinois,Addison,253,53,29,0,1,3,0,2,0,16,6,41,3,0,5,3,94,1,510,510
Arizona,Scottsdale,125,7,8,0,127,22,0,0,1,1,2,38,1,0,74,47,55,0,508,5119
Georgia,Roswell,262,40,74,0,2,2,0,32,0,6,5,31,4,0,4,1,45,0,508,4657
Illinois,Elmhurst,252,54,29,0,1,3,0,2,0,16,6,41,3,0,5,2,91,1,506,7733
Illinois,Lombard,252,55,29,0,1,3,0,2,0,16,6,41,3,0,5,2,90,1,506,10220
California,San Rafael,91,26,12,0,0,2,0,17,2,6,21,68,147,0,1,45,66,0,504,67347
Mississippi,Southaven,23,199,227,0,16,9,0,2,0,2,3,2,1,0,11,6,3,0,504,898
Georgia,Alpharetta,260,37,73,0,2,2,0,32,0,6,5,31,4,0,4,1,45,0,502,681
Georgia,Johns Creek,259,37,73,0,2,2,0,32,0,6,5,32,4,0,4,1,45,0,502,3089
Illinois,Mount Prospect,253,52,31,0,1,3,0,2,0,12,6,36,3,0,5,3,94,1,502,10824
Arizona,Chandler,119,7,10,0,125,16,0,0,1,10,1,38,1,0,74,45,54,0,501,1511
Washington,Puyallup,18,6,287,0,11,14,0,2,2,2,14,82,36,0,10,10,7,0,501,6592
Illinois,Arlington Heights,253,51,31,0,1,3,0,2,0,12,6,35,3,0,5,3,94,1,500,1010
Illinois,Berwyn,256,52,27,0,1,3,0,2,0,16,6,38,2,0,5,2,89,1,500,2424
California,Hawthorne,159,32,29,1,117,34,0,1,2,9,19,39,6,0,2,0,47,0,497,27932
Georgia,Brookhaven,275,44,73,0,2,2,0,0,0,6,6,29,4,0,4,1,50,0,496,1934
California,Pasadena,129,30,10,1,114,32,0,1,2,8,19,34,6,0,2,63,44,0,495,52689
California,Glendale,124,28,11,1,115,31,0,1,2,9,18,39,6,0,2,61,45,0,493,26750
California,Santa Monica,129,29,12,1,107,32,0,1,2,10,17,40,6,0,2,57,47,0,492,70581
Illinois,Oak Park,247,51,27,0,1,3,0,2,0,16,6,39,2,0,5,2,90,1,492,12118
Massachusetts,Marlborough,165,71,25,0,2,43,0,2,1,21,4,97,8,0,2,1,49,0,491,6976
Georgia,Smyrna,272,38,73,0,2,2,0,33,0,6,5,0,4,0,4,1,50,0,490,5812
Florida,Boca Raton,24,2,393,0,29,7,0,0,1,2,1,4,1,0,1,10,14,0,489,1330
Texas,DeSoto,137,16,7,0,133,17,0,22,2,1,2,15,7,0,3,64,62,0,488,6138
Illinois,Wheaton,241,52,29,0,1,3,0,2,0,15,6,40,3,0,5,2,87,1,487,16873
Arizona,Glendale,113,6,8,0,119,24,0,18,1,1,2,35,1,0,69,44,44,0,485,2567
Texas,Lancaster,132,19,7,0,128,18,0,22,1,1,2,17,7,0,3,65,63,0,485,13903
Illinois,Cicero,246,49,27,0,1,3,0,2,0,16,6,38,2,0,5,2,86,1,484,5434
Massachusetts,Malden,175,80,24,0,2,41,0,2,1,22,4,75,6,0,2,1,48,0,483,6485
Massachusetts,Everett,175,79,24,0,2,41,0,2,1,22,4,75,5,0,2,1,48,0,481,3238
Massachusetts,Boston,183,84,24,0,2,41,0,2,1,22,4,57,8,0,2,1,49,0,480,1155
Nebraska,Omaha,29,2,340,0,37,5,0,2,0,2,1,1,1,0,24,30,4,0,478,1184
California,Arcadia,110,24,10,1,100,35,0,1,2,7,17,20,4,0,64,43,38,0,476,3481
California,Livermore,107,143,6,0,71,3,0,27,2,8,21,1,2,0,4,33,47,0,475,36160
